Theme 1 — Perceived Impact on Decision Quality,,,
Subtheme,Case,Quote,DeepL Translation
1.1. Structured Thinking & Clarity,CS3,"Isso ajudou porque nos obriga a pensar em como categorizar as informações. Isso evita uma linha de pensamento dispersa, já que temos que encaixar cada elemento nas “caixas” e garantir que todas elas sejam preenchidas.","It helped because it forces us to think about how to categorize the information. This prevents a scattered line of thought, since we have to fit each element into the ‘boxes’ and make sure all of them are filled."
,CS3,"Então ajuda dessa forma e ajuda no sentido de que depois gera uma visualização disso. Fica tudo escrito. O visual já tem uma documentação de certa forma, não é? ","So it helps in that way, and it helps in the sense that it then generates a visualization of it. Everything is written down. The visual already has some form of documentation, doesn't it? "
,CS3,"Então, eu acho que ter uma conversa baseada em algo estruturado é muito mais produtivo, algo visualmente fácil de identificar as categorias, tudo mais que nem é o Canvas também.","So, I think having a conversation based on something structured is much more productive, something visually easy to identify the categories, everything else that isn't Canvas either."
,CS4,"Eu tenho uma maneira visual, para poder comunicar algo que estaria atrás de um texto e eu tenho uma forma estruturada de lidar com isso. ","I have a visual way of communicating something that would be behind a text, and I have a structured way of dealing with it. "
,CS5,"People can be more specific about what the advantages and disadvantages of their preferred approaches are, and if you have everything on paper, then I think that might making might make choosing a lot easier.",
,CS6,"So for us to again be clear with what we're dealing with, I think that it's gonna help us structure. It's like you can break down the whole, you know, element into small parts to figure out as the architecture. So it's like pretty clear and to figure out at each step.",
,CS6,It's a way to structure the discussion in a really light in that regard.,
,CS6,It's visualized so that it could be more like readable to see.,
,CS6,It's necessary when you're dealing with things like this and also to have something right in front of you to sort of know what you're uh or over or like use it when you do pros and cons just least or you use some kind of tool to do it. ,
,CS6,It gives a very structured way to look at the problem and a potential solution.,
1.2. Considering Multiple Perspectives,CS2,Eu acho que uma forma que ele afeta é que ele te força a entender que tem outros stakeholders ali que vão usar aquela modelagem.,I think one way it affects you is that it forces you to understand that there are other stakeholders there who will use that modeling.
,CS2,"É então assim, não é simplesmente você fazer o melhor modelo possível, mas você entender que outras pessoas que não tem aquele conhecimento vão interagir com aquele modelo, então ele facilita você a explicar o porquê que o modelo teria que ser junto","So it's not just about making the best model possible, but understanding that other people who don't have that knowledge will interact with that model, so it makes it easier for you to explain why the model would have to be together."
,CS2,É para pessoas que não entendem como isso funciona e também facilita você entender que talvez a sua modelagem tenha que mudar para ser adequada para a realidade dos outros usuários que vão estar interagindo com ela.,"It is for people who do not understand how it works, and it also makes it easier for you to understand that perhaps your modeling needs to change to be appropriate for the reality of other users who will be interacting with it."
,CS2,"Eu acho que ele foi útil e interessante nesse sentido de trazer a interação entre stakeholders diferentes para sua modelagem. Não adianta fazer uma modelagem super complexa que na hora que eu vou fazer a minha inferência, tem um monte de termos e coisas que depois o usuário final não vai conseguir atualizar.","I think it was useful and interesting in the sense that it brought interaction between different stakeholders into its modeling. There's no point in creating a super complex model that, when I go to make my inference, has a bunch of terms and things that the end user won't be able to update later."
,CS4,"Olhar, para esses stakeholders, para essa escolha de solução, para esses artefatos, para esses recursos que eu tenho hoje, eles estão interagindo dessa forma. ","Look, for these stakeholders, for this choice of solution, for these artifacts, for these resources that I have today, they are interacting in this way. "
,CS4,O Canvas tem uma interface na qual eu sou desafiado a de fato justificar e pensar de forma crítica vários aspectos que meus stakeholders e que as minhas soluções interagem. ,The Canvas has an interface that challenges me to really justify and think critically about various aspects that my stakeholders and my solutions interact with. 
,CS4,Consegue trazer para a mesa gente que talvez não se sentisse tão capaz de contribuir. ,It can bring people to the table who might not have felt so capable of contributing. 
,CS5,Because it also forces you to re-examine any contrasts between what is and what could be if a different decision had been made,
,CS6,"I think we got a better, a better picture, but also it's a good way for like communicating and collaborating at the same time.",
1.3. Justification & Transparency,CS2,"Eu acho que assim, ele te dá argumentos de que uma vez que a gente tem a solução desenvolvida, de que olha, a gente consegue ir até aqui com um certo nível de confiança","I think that way, he gives you arguments that once we have the solution developed, that look, we can get this far with a certain level of confidence."
