Theme 4 — Support & Resources,,,
Subtheme,Case,Quote,DeepL Translation
4.1 Usefulness of Provided Materials,CS2,Eu acho que a usabilidade e as ferramentas de que elas estão estão muito boas. ,I think the usability and the tools they offer are very good. 
,CS2,Eu achei o guidebook muito bom.,I thought the guidebook was very good.
,CS2,"O material de apoio e supre bem a qualquer dúvida ou conceitos que não sejam ainda conhecidos pelo pelo próprio usuário. Então eu acho que realmente ele funcionou bem. Até para uma e funcionaria bem, até para uma pessoa que não está familiarizada com esses conceitos de risco e valor. ",The support material adequately addresses any questions or concepts that are not yet familiar to the user. So I think it really worked well. It would work well even for someone who is not familiar with these concepts of risk and value. 
,CS3 ,"Eu acho que o material de suporte que eu usei mais que foi o vídeo, ele me ajuda mais no aspecto de motivação do que de treinamento. ","I think the support material I used the most was video, which helps me more in terms of motivation than training. "
,CS3 ,"Eu diria para você que eu quero menos [material, informação]. Eu acho que tem muito. ","I would tell you that I want less [material, information]. I think there is too much. "
,CS4,"The existing ones, the existing one with the instructions was good to have, of course.",
,CS4,"The video was excellent, I thought.",
4.2 Format Preferences,CS5,[printed version] Also we can just put everything or we can adjust during our discussion. So I think that's a good way. ,
4.3 Limitations of Current Tools,CS3 ,"Para que eu consiga ter independência na forma de construir. Entender que eles são coisas diferentes, e onde eles são diferentes, e em qual aspecto eles são diferentes, o vídeo não é suficiente. ","So that I can be independent in how I build things. To understand that they are different things, and where they are different, and in what way they are different, the video is not enough. "
,CS3 ,"Se você trás outras coisas que não são parte da linguagem [cores, símbolos], você corre alguns riscos. Por exemplo, você corre o risco de a pessoa ficar frustrado com o uso da solução porque ela não tem uma ferramenta que ajuda ela a construir isso. ","If you bring in other things that are not part of the language [colors, symbols], you run certain risks. For example, you run the risk of the person becoming frustrated with using the solution because they don't have a tool that helps them build it. "
,CS3 ,"Aí você vai de um time para outro time que tem cultura de desenvolvimento diferentes, eles não vão conversar entre si. Porque um time está usando a cor para representar o stakeholder e o outro está usando para representar a solução. ","Then you go from one team to another team that has a different development culture, and they won't talk to each other. Because one team is using color to represent the stakeholder and the other is using it to represent the solution. "
,CS5,I found the the video to be rather fast-paced and I didn't have time to let stuff sink in process that ,
4.4 Desired Improvements,CS2,"Você ter associado algum sistema de pesos, talvez para os riscos e para os value enablers.","You have associated some kind of weighting system, perhaps for risks and value enablers."
,CS3 ,"Se fosse uma questão de ter um FAQ para cada uma das sessões, essa questão de como vc da fraseologia dos pots-it era um ítem que eu colocaria lá com certeza. ","If it were a matter of having an FAQ for each of the sessions, that question about how you phrased the post-its was something I would definitely include there. "
,CS3 ,"Se você vai associar um valor, uma questão positiva e negativa, azul e vermelho eu acho que ficou uma paleta sutil, mas se eu pudesse escolher, eu gostaria de experimentar uma paleta que vai verde e vermelho. ","If you are going to associate a value, a positive and negative issue, blue and red, I think it turned out to be a subtle palette, but if I could choose, I would like to try a palette that goes green and red. "
,CS4,"So maybe a few more examples would be useful, like if you come up with a really simple example projects that people could intuitively understand quickly and.",
