Theme 7 — Usage Intentions,,,
Subtheme,Case,Quote,DeepL Translation
7.1 Conditional Use,CS2,Eu acho que eu usaria desde que eu tivesse num contexto em que você tem stakeholders muito diferentes envolvidos.,I think I would use it as long as I was in a context where you have very different stakeholders involved.
,CS5,Like I think the value is mainly in where you have situations with multiple or many stakeholders.,
,CS5,"Also when we're dealing with, let's say, just a part of the huge problem that we're trying to solve.",
7.2 Continued Adoption,CS3,Eu tenho que produzir um documento para acompanhar a publicação do modelo. No caso do documento que eu estou usando para referenciar é o artigo. Isso que para mim ajuda a fazer a motivação do artigo. Eu vou trazer coisas daqui [do Canvas] para as sessões do meu artigo. ,"I have to produce a document to accompany the publication of the model. In this case, the document I am using for reference is the article. This helps me to motivate the article. I will bring things from here [Canvas] to the sections of my article. "
,CS3,Certamente usaria o Canvas no futuro. ,I would definitely use Canvas in the future. 
,CS3,"Eu gosto do potencial do Canvas, especialmente quando eu tenho que lidar com pessoas da indústria. Porque muitas vezes eu vou lidar com pessoas na indústria que vão estar bem capacitadas para discutirem os termos de pelo menos uma das visões [Stakeholder, Solução, Recursos]. ","I like the potential of the Canvas, especially when I have to deal with people in the industry. Because I will often deal with people in the industry who will be well equipped to discuss the terms of at least one of the views [Stakeholder, Solution, Resources]. "
,CS5,"Yeah, it's definitely it's a long keep in my tool belt.",
7.3 Recommendations to Others,CS3,Eu indicaria o Canvas. ,I would recommend the Canvas. 
,CS4,"I would recommend using it a bit more broadly, so maybe not thinking too much about the narrowed distinctions in the categories for a new project or maybe for a project that.",
,CS4,It would be useful if someone is having doubts and is thinking about changing course for one of the decisions made.,
,CS4,"For a project that has existed for a while and some decisions have been made, but people are having doubts about those decisions.",
